OrderDate,Customer Id,Region,OrderID,Product,Quantity,UnitPrice
1/31/2023,Cus1278,North,1001,Shirt,5,20
2/28/2023,Cus1022,South,1002,Shoes,10,50
3/31/2023,Cus1064,East,1003,Hat,7,15
4/30/2023,Cus1327,West,1004,Socks,3,5
5/31/2023,Cus1309,North,1005,Jacket,2,60
6/30/2023,Cus1141,South,1006,Gloves,8,25
7/31/2023,Cus1199,East,1007,Shirt,12,40
8/31/2023,Cus1385,West,1008,Shoes,4,15
9/30/2023,Cus1410,North,1009,Hat,7,10
10/31/2023,Cus1458,South,1010,Socks,9,30
11/30/2023,Cus1233,East,1011,Jacket,6,35
12/31/2023,Cus1234,West,1012,Gloves,5,20
1/31/2024,Cus1138,North,1013,Shirt,8,50
2/29/2024,Cus1489,South,1014,Shoes,10,60
3/31/2024,Cus1462,East,1015,Hat,11,10
4/30/2024,Cus1341,West,1016,Socks,4,20
5/31/2024,Cus1069,North,1017,Jacket,3,30
6/30/2024,Cus1288,South,1018,Gloves,12,25
7/31/2024,Cus1093,East,1019,Shoes,5,15
8/31/2024,Cus1259,West,1020,Hat,7,50
1/31/2023,Cus1117,North,1001,Shirt,5,20
2/28/2023,Cus1237,South,1002,Shoes,10,50
3/31/2023,Cus1154,East,1003,Hat,7,15
4/30/2023,Cus1147,West,1004,Socks,3,5
5/31/2023,Cus1152,North,1005,Jacket,2,60
6/30/2023,Cus1417,South,1006,Gloves,8,25
7/31/2023,Cus1294,East,1007,Shirt,12,40
8/31/2023,Cus1131,West,1008,Shoes,4,15
9/30/2023,Cus1205,North,1009,Hat,7,10
10/31/2023,Cus1415,South,1010,Socks,9,30
11/30/2023,Cus1054,East,1011,Jacket,6,35
12/31/2023,Cus1032,West,1012,Gloves,5,20
1/31/2024,Cus1451,North,1013,Shirt,8,50
2/29/2024,Cus1322,South,1014,Shoes,10,60
3/31/2024,Cus1046,East,1015,Hat,11,10
4/30/2024,Cus1308,West,1016,Socks,4,20
5/31/2024,Cus1176,North,1017,Jacket,3,30
6/30/2024,Cus1069,South,1018,Gloves,12,25
7/31/2024,Cus1405,East,1019,Shoes,5,15
8/31/2024,Cus1491,West,1020,Hat,7,50
1/31/2023,Cus1456,North,1001,Shirt,5,20
2/28/2023,Cus1256,South,1002,Shoes,10,50
3/31/2023,Cus1381,East,1003,Hat,7,15
4/30/2023,Cus1135,West,1004,Socks,3,5
5/31/2023,Cus1160,North,1005,Jacket,2,60
6/30/2023,Cus1107,South,1006,Gloves,8,25
7/31/2023,Cus1352,East,1007,Shirt,12,40
8/31/2023,Cus1322,West,1008,Shoes,4,15
9/30/2023,Cus1394,North,1009,Hat,7,10
10/31/2023,Cus1499,South,1010,Socks,9,30
11/30/2023,Cus1202,East,1011,Jacket,6,35
12/31/2023,Cus1173,West,1012,Gloves,5,20
1/31/2024,Cus1181,North,1013,Shirt,8,50
2/29/2024,Cus1431,South,1014,Shoes,10,60
3/31/2024,Cus1230,East,1015,Hat,11,10
4/30/2024,Cus1382,West,1016,Socks,4,20
5/31/2024,Cus1236,North,1017,Jacket,3,30
6/30/2024,Cus1106,South,1018,Gloves,12,25
7/31/2024,Cus1410,East,1019,Shoes,5,15
8/31/2024,Cus1460,West,1020,Hat,7,50
1/31/2023,Cus1035,North,1001,Shirt,5,20
2/28/2023,Cus1332,South,1002,Shoes,10,50
3/31/2023,Cus1150,East,1003,Hat,7,15
4/30/2023,Cus1355,West,1004,Socks,3,5
5/31/2023,Cus1341,North,1005,Jacket,2,60
6/30/2023,Cus1203,South,1006,Gloves,8,25
7/31/2023,Cus1443,East,1007,Shirt,12,40
8/31/2023,Cus1397,West,1008,Shoes,4,15
9/30/2023,Cus1241,North,1009,Hat,7,10
10/31/2023,Cus1277,South,1010,Socks,9,30
11/30/2023,Cus1435,East,1011,Jacket,6,35
12/31/2023,Cus1048,West,1012,Gloves,5,20
1/31/2024,Cus1090,North,1013,Shirt,8,50
2/29/2024,Cus1270,South,1014,Shoes,10,60
3/31/2024,Cus1139,East,1015,Hat,11,10
4/30/2024,Cus1323,West,1016,Socks,4,20
5/31/2024,Cus1361,North,1017,Jacket,3,30
6/30/2024,Cus1414,South,1018,Gloves,12,25
7/31/2024,Cus1026,East,1019,Shoes,5,15
8/31/2024,Cus1054,West,1020,Hat,7,50
1/31/2023,Cus1134,North,1001,Shirt,5,20
2/28/2023,Cus1322,South,1002,Shoes,10,50
3/31/2023,Cus1295,East,1003,Hat,7,15
4/30/2023,Cus1243,West,1004,Socks,3,5
5/31/2023,Cus1161,North,1005,Jacket,2,60
6/30/2023,Cus1121,South,1006,Gloves,8,25
7/31/2023,Cus1483,East,1007,Shirt,12,40
8/31/2023,Cus1073,West,1008,Shoes,4,15
9/30/2023,Cus1338,North,1009,Hat,7,10
10/31/2023,Cus1012,South,1010,Socks,9,30
11/30/2023,Cus1433,East,1011,Jacket,6,35
12/31/2023,Cus1416,West,1012,Gloves,5,20
1/31/2024,Cus1233,North,1013,Shirt,8,50
2/29/2024,Cus1059,South,1014,Shoes,10,60
3/31/2024,Cus1006,East,1015,Hat,11,10
4/30/2024,Cus1056,West,1016,Socks,4,20
5/31/2024,Cus1243,North,1017,Jacket,3,30
